bias_2019-06-24_11-43-17_,current__1.0V/s_2019-06-24_11-43-17_,current__0.5V/s_2019-06-24_11-43-17_,current__0.1V/s_2019-06-24_11-43-17_
0.0,-1.756286e-09,-6.30671e-10,-5.682211e-10
0.05,-5.667109e-10,-5.954177e-10,-5.667115e-10
0.1,-5.853438e-10,-5.868542e-10,-5.732573e-10
0.15000000000000002,-6.024666e-10,-5.556285e-10,-5.657045e-10
0.2,-5.772861e-10,-5.843365e-10,-5.903804e-10
0.25,-5.863525e-10,-5.561342e-10,-5.692296e-10
0.30000000000000004,-5.556298e-10,-5.767824e-10,-5.616753e-10
0.35000000000000003,-5.813162e-10,-5.908841e-10,-5.516021e-10
0.4,-5.979361e-10,-5.737628e-10,-5.712428e-10
0.45,-5.747679e-10,-5.657047e-10,-5.536158e-10
0.5,-5.843376e-10,-5.772872e-10,-5.873586e-10
0.55,-5.702357e-10,-5.818193e-10,-5.697336e-10
0.6000000000000001,-5.667121e-10,-5.818185e-10,-5.662067e-10
0.65,-5.787988e-10,-5.893744e-10,-5.818198e-10
0.7000000000000001,-5.782941e-10,-5.702361e-10,-5.702351e-10
0.75,-5.727545e-10,-5.818196e-10,-5.803082e-10
0.8,-5.68726e-10,-5.566373e-10,-5.999502e-10
0.8500000000000001,-5.858497e-10,-5.621784e-10,-5.777908e-10
0.9,-5.616744e-10,-5.793021e-10,-6.090151e-10
0.9500000000000001,-5.556309e-10,-5.662057e-10,-5.823235e-10
1.0,-5.848403e-10,-5.777895e-10,-5.928993e-10
0.9500000000000001,-5.913896e-10,-5.908852e-10,-5.73761e-10
0.9,-5.309529e-10,-5.682217e-10,-5.596595e-10
0.8500000000000001,-6.195926e-10,-5.712425e-10,-6.221098e-10
0.8,-5.903807e-10,-5.586526e-10,-5.485801e-10
0.75,-5.636883e-10,-5.83833e-10,-6.407442e-10
0.7000000000000001,-5.818203e-10,-5.903807e-10,-5.888714e-10
0.65,-5.752726e-10,-5.702361e-10,-5.848418e-10
0.6000000000000001,-5.8031e-10,-5.913869e-10,-5.566384e-10
0.55,-5.818187e-10,-5.621784e-10,-5.908861e-10
0.5,-5.687246e-10,-5.818187e-10,-5.782946e-10
0.45,-5.672142e-10,-5.596577e-10,-5.641937e-10
0.4,-5.843375e-10,-5.838346e-10,-5.732576e-10
0.35000000000000003,-5.833293e-10,-6.019647e-10,-5.596607e-10
0.30000000000000004,-5.994478e-10,-5.969286e-10,-5.737602e-10
0.25,-5.893734e-10,-5.702369e-10,-5.752724e-10
0.2,-5.737613e-10,-5.969286e-10,-5.561341e-10
0.15000000000000002,-5.77286e-10,-5.803086e-10,-5.787973e-10
0.1,-5.833298e-10,-5.954164e-10,-5.833311e-10
0.05,-5.833293e-10,-5.717451e-10,-5.868555e-10
0.0,-5.777914e-10,-5.873579e-10,-5.732564e-10
-0.05,-5.999479e-10,-5.682199e-10,-5.803071e-10
-0.1,-5.546201e-10,-5.757741e-10,-5.682191e-10
-0.15000000000000002,-5.792992e-10,-5.591536e-10,-5.969263e-10
-0.2,-5.712411e-10,-5.934003e-10,-5.687234e-10
-0.25,-6.18583e-10,-5.818181e-10,-5.646944e-10
-0.30000000000000004,-5.8635e-10,-5.994439e-10,-5.803079e-10
-0.35000000000000003,-5.717449e-10,-5.93906e-10,-5.515999e-10
-0.4,-5.485776e-10,-6.049851e-10,-5.717468e-10
-0.45,-5.858473e-10,-5.69227e-10,-5.662054e-10
-0.5,-5.833296e-10,-5.883657e-10,-5.662052e-10
-0.55,-5.858466e-10,-5.747665e-10,-5.782929e-10
-0.6000000000000001,-5.913865e-10,-5.505931e-10,-5.949121e-10
-0.65,-5.792986e-10,-5.934014e-10,-5.692282e-10
-0.7000000000000001,-5.903794e-10,-5.752689e-10,-5.636874e-10
-0.75,-5.833296e-10,-5.818185e-10,-5.833301e-10
-0.8,-5.777894e-10,-6.049834e-10,-5.777886e-10
-0.8500000000000001,-5.818167e-10,-5.692274e-10,-5.73759e-10
-0.9,-5.934004e-10,-5.767806e-10,-4.997259e-10
-0.9500000000000001,-5.651987e-10,-5.71744e-10,-5.793005e-10
-1.0,-5.727528e-10,-5.354834e-10,-5.818174e-10
-0.9500000000000001,-5.68723e-10,-5.782925e-10,-5.636882e-10
-0.9,-5.667098e-10,-5.969263e-10,-5.505922e-10
-0.8500000000000001,-5.949107e-10,-5.71746e-10,-5.792999e-10
-0.8,-5.591551e-10,-5.818181e-10,-6.019638e-10
-0.75,-5.732561e-10,-5.793012e-10,-5.712419e-10
-0.7000000000000001,-5.767813e-10,-5.697309e-10,-5.596594e-10
-0.65,-5.767813e-10,-5.787958e-10,-5.626796e-10
-0.6000000000000001,-5.707385e-10,-5.833293e-10,-5.747676e-10
-0.55,-5.68723e-10,-5.546216e-10,-5.868546e-10
-0.5,-5.516001e-10,-5.571403e-10,-5.657018e-10
-0.45,-5.531111e-10,-5.475707e-10,-5.792996e-10
-0.4,-5.516018e-10,-5.581472e-10,-5.853434e-10
-0.35000000000000003,-5.249071e-10,-5.732576e-10,-5.531112e-10
-0.30000000000000004,-5.586515e-10,-5.621749e-10,-5.878622e-10
-0.25,-5.672135e-10,-5.737598e-10,-5.631848e-10
-0.2,-5.63687e-10,-5.611692e-10,-5.717442e-10
-0.15000000000000002,-5.546222e-10,-5.792986e-10,-5.687224e-10
-0.1,-5.843358e-10,-5.853438e-10,-5.813131e-10
-0.05,-5.410243e-10,-5.772846e-10,-5.873585e-10
-0.0,-5.687244e-10,-5.883649e-10,-5.58147e-10
0.05,-5.596573e-10,-5.757749e-10,-5.833295e-10
0.1,-5.591563e-10,-5.576443e-10,-5.712428e-10
0.15000000000000002,-5.777891e-10,-5.782932e-10,-5.62681e-10
0.2,-5.435433e-10,-5.621773e-10,-5.561345e-10
0.25,-5.465658e-10,-5.374994e-10,-5.49587e-10
0.30000000000000004,-5.556305e-10,-5.526096e-10,-5.813153e-10
0.35000000000000003,-5.249107e-10,-5.722502e-10,-5.626817e-10
0.4,-5.722502e-10,-5.400199e-10,-5.934035e-10
0.45,-5.828267e-10,-5.82827e-10,-5.621776e-10
0.5,-5.657035e-10,-5.727533e-10,-5.752718e-10
0.55,-5.944095e-10,-5.808131e-10,-5.526086e-10
0.6000000000000001,-5.616745e-10,-5.757763e-10,-5.707395e-10
0.65,-5.652e-10,-5.772881e-10,-5.646967e-10
0.7000000000000001,-5.516028e-10,-5.742651e-10,-5.752722e-10
0.75,-5.702369e-10,-5.928992e-10,-5.78294e-10
0.8,-5.631849e-10,-5.556304e-10,-5.692278e-10
0.8500000000000001,-5.772852e-10,-5.566385e-10,-5.848418e-10
0.9,-6.014619e-10,-5.873579e-10,-5.747696e-10
0.9500000000000001,-5.752729e-10,-5.641917e-10,-5.838346e-10
1.0,-5.636897e-10,-5.808127e-10,-5.652002e-10
0.9500000000000001,-5.687253e-10,-5.999502e-10,-5.672137e-10
0.9,-5.77286e-10,-5.510978e-10,-5.838342e-10
0.8500000000000001,-5.606676e-10,-5.742661e-10,-5.918924e-10
0.8,-4.100805e-10,-5.430401e-10,-5.939066e-10
0.75,-6.246273e-10,-5.954179e-10,-5.410261e-10
0.7000000000000001,-5.324637e-10,-5.727556e-10,-5.717485e-10
0.65,-5.28436e-10,-5.762795e-10,-5.798074e-10
0.6000000000000001,-5.646965e-10,-5.546238e-10,-6.059931e-10
0.55,-5.108093e-10,-6.014621e-10,-5.913894e-10
0.5,-5.395141e-10,-5.888697e-10,-5.969288e-10
0.45,-5.767846e-10,-5.823239e-10,-5.641931e-10
0.4,-6.039794e-10,-5.787969e-10,-5.551272e-10
0.35000000000000003,-5.848407e-10,-5.66207e-10,-5.853454e-10
0.30000000000000004,-5.551273e-10,-5.79804e-10,-5.798043e-10
0.25,-5.415283e-10,-5.657043e-10,-6.070024e-10
0.2,-6.049868e-10,-5.808133e-10,-5.96928e-10
0.15000000000000002,-5.969266e-10,-5.89877e-10,-5.888703e-10
0.1,-5.903814e-10,-6.014588e-10,-5.752716e-10
0.05,-5.279303e-10,-5.742655e-10,-6.009578e-10
0.0,-5.526072e-10,-5.692298e-10,-5.989431e-10
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
